,SITUATION,EMOTION
5824,I felt sad when my boyfriend and I were apart for some time.,SADNESS
5825,I felt disgusted when I was in a restaurant which didn't appear to be clean and orderly. (I do not like to be in unclean environments).,DISGUST
5826,I felt ashamed when I was confronted by a teaching assistant that a close friend and I were accused of cheating on a math exam.,SHAME
5827,When I did not defend my close friend when my father degraded him. I felt guilty for allowing my father to get away with his actions and for the hurt my friend felt. I cleared the matter up with my father a few weeks later.,GUILT
5828,After much trouble getting together in the first place my boyfriend and I celebrated our first anniversary.,JOY
5829,I got caught shoplifting a package of gummy bears.,FEAR
5830,"Sometimes when I go to work my crazy boss (a hyper Jewish lawyer) insists I do things his way (filing, typing, etc.). He sometimes blames me for things I didn't do, and I can't yell back at him.",ANGER
5831,Since I moved into the dorms and I've been spending most of my free time with my boyfriend. I hardly see my old high school friends. I had several bad incidents with my 2 past best friends.,SADNESS
5832,"I took a psych. experiment with a totally unappealing gay man as the experimentor, some homosexuals are funny or cute, but this guy was disgusting. Plus the experiment was about gays too.",DISGUST
5833,"My grades. When my parents say, \How are you doing at school, ágetting good grades ?\"" I say, \""Great, just fine !\"" Actually, I á",SHAME
5834,I've had three midterms in the past two weeks and I hardly studied for any of them (like 1 or 2 days) I feel guilty that I hadn't studied and I got C's on all of them.,GUILT
5835,Winning a close volleyball game. (I'm on the intercollegiate team at CAL),JOY
5836,Speaking in front of a large group of people.,FEAR
5837,Same situation as before - having my car stolen.,ANGER
5838,When a close friend drowned in the American River.,SADNESS
5839,Getting a low grade on my physics midterm.,DISGUST
5840,Arguing with a friend over politics. She was more informed on the issues and made me feel very ashamed of my political ignorance.,SHAME
5841,When my father's car got stolen from me. (A 1966 Ford Mustang - very hard to replace).,GUILT
5842,Getting sent on a company expense trip to another state to work for a week at that plan.,JOY
5843,"On my second plane trip, we ran into unexpected turbulence.",FEAR
5844,Having my personal objects rearranged by someone else without my consent and having it arranged to their taste. Then trying to find a particular object they rearranged for an hour or more.,ANGER
5845,Death of my father.,SADNESS
5846,"Getting back my math midterm, I received a lower grade than I thought I would get. After going through the questions I felt that the grader had graded harshly and I had made only a few ? errors.",DISGUST
5847,Getting a low grade on a midterm.,SHAME
5848,Promising to do a task for a friend and just forgetting about it.,GUILT
5849,When I finished my C.S. Project I was overjoyed. I felt relieved because it was due the next day and I was tired of looking at it.,JOY
5850,I overturned in a canoe a few years back and I didn't know how to swim. Although I had a life-jacket on I still panicked.,FEAR
5851,I came out of the house at 7:20 am Monday morning getting ready t go to school and fight for a parking when I saw my car had a flat tire.,ANGER
5852,After my little sister's Graduation from High School my grandmother became very sick. She passed away a few months later.,SADNESS
5853,When I saw a wino by some cans with Food Stamps and use the change to buy wine.,DISGUST
5854,I felt this when I was copying homework for one of my classes.,SHAME
5855,"After yelling at my girlfriend, I felt bad because she was ? crying and upset.",GUILT
5856,A party with no worries (i.e. no tests homework etc.) many friends were present and good music.,JOY
5857,I'm afraid of not being able to go to the school I want because of suffering grades.,FEAR
5858,I was stood up for a date function by someone who I really cared for.,ANGER
5859,"After blowing up and saying all the wrong things, I realized what I had done and hurt that person and myself.",SADNESS
5860,My friends aren't working for the same common goal we all need to accomplish.,DISGUST
5861,I was supposed to do something and didn't. The person was really dependiong on me.,SHAME
5862,"After confronting the person who stood me up, I blew up and said all the wrong things.",GUILT
5863,I realized the girl liked to be with me.,JOY
5864,That I would do bad in a class and not get into Bus school.,FEAR
5865,When my dad told me about something he had done against my mother.,ANGER
5866,When I heard my sister got in a bad car accident.,SADNESS
5867,An Engineer I know wants war so he can get a job making bombs.,DISGUST
5868,I did bad on a test I didn't study for.,SHAME
5869,Decided at the last minute not to do something that I said I would do with a person.,GUILT
5870,When I passed the B.A exams with first class results.,JOY
5871,When my B.A results had not come.,FEAR
5872,When I failed my S.S.C exam.,ANGER
5873,When my sister left home to go and live with her husband.,SADNESS
5874,"I trusted a friend of mine, but she lied to me about something and this disgusted me.",DISGUST
5875,When I failed the S.S.C examination I felt very ashamed.,SHAME
